BGP_ID,Lat,Long,Johanna Pop_ID,State,CityTown,Climate,Urban,Sex,Month,Day,Record_no,Inversion_geno,inv_k3,Band_no,color,Population,sample #,raw data,coverage,Q20(%),Q30(%),GC(%),Final DNA Quant,F_MISS,MEAN_DEPTH,pop1,pop2,Body Feathers/Upper Calamus,
07N24044,41.759289,-70.1175,east,MA,Brewster,,,F,8,27,,AB,AeB,229198946,#5aae61,eastern,Y_07N24044,3874907700,3.429121858,98.02,94.68,45.97,0.27936,0.0644142,5.39825,0.0001011,0.9998989,,
07N27185,35.44028,-95.01472,contact,OK,Sequoyah,,,F,6,21,,AA,AeAe,808183261,#5aae61,eastern,Y_07N27185,1098419700,0.972052832,97.42,93.55,49.99,0.084735,0.441238,1.43727,0.0222524,0.9777476,,
07N27196,35.44028,-95.01472,contact,OK,Sequoyah,,,F,5,31,,BB,BB,808183261,#5aae61,eastern,Y_07N27196,2528129100,2.237282389,97.46,93.52,47.49,0.155775,0.183334,3.18786,0.0001016,0.9998984,,
07N27374,33.76194,-86.51889,east,AL,Springville,,,F,5,13,,BB,BB,193108069,#5aae61,eastern,Y_07N27374,1944462600,1.720763363,97.57,93.84,46.87,0.112855,0.277038,2.34324,0.0001003,0.9998997,,
07N27964,41.18056,-83.02222,contact,OH,Republic,,,M,6,10,,BB,BB,196150171,#5aae61,eastern,Y_07N27964,1654982700,1.46458646,97.34,93.34,49.11,0.125225,0.349356,1.96034,0.0001005,0.9998995,,
08N10319,37.69444,-92.11111,east,MO,Fort Leonard Wood,,,M,6,18,,BB,BB,184143606,#5aae61,eastern,Y_08N10319,3956824800,3.501614867,97.94,94.45,44.84,0.28539,0.068612,4.85282,0.0001015,0.9998984,,
08N13152,38.83972,-86.79361,east,IN,Cale,,,M,6,2,,AB,AeB,220172375,#5aae61,eastern,Y_08N13152,6144170400,5.437318938,97.96,94.41,49.79,0.482825,0.0363847,10.567,0.0188065,0.9811935,,
08N23010,30.505,-91.73194,east,LA,Krotz Springs,,,F,7,10,,AA,AeAe,199102934,#5aae61,eastern,Y_08N23010,1310612100,1.159833717,97.34,93.39,50.37,0.15484,0.397267,1.68011,0.0565656,0.9434344,,
08N23254,30.505,-91.73194,east,LA,Krotz Springs,,,U,7,30,,AA,AeAe,199102951,#5aae61,eastern,Y_08N23254,6065511900,5.367709646,98.07,94.45,43.23,1.16923,0.0144334,7.55403,0.0493355,0.9506645,,Recs in pin
09N14652,37.705,-92.11667,east,MO,Fort Leonard Wood,,,M,5,24,,AA,AeAe,179158128,#5aae61,eastern,Y_09N14652,2335734000,2.067021239,97.63,93.97,47.35,0.147495,0.201027,2.84615,0.0139382,0.9860618,,
