BGP_ID,Lat,Long,Johanna Pop_ID,State,CityTown,Climate,Urban,Sex,Month,Day,Record_no,Inversion_geno,inv_k3,Band_no,color,Population,sample #,raw data,coverage,Q20(%),Q30(%),GC(%),Final DNA Quant,F_MISS,MEAN_DEPTH,pop1,pop2,Body Feathers/Upper Calamus,
23N16089,32.0385,-85.47163,east,AL,Midway,,,F,7,6,,AB,AeB,283159900,#5aae61,eastern,Y_23N16089,3255552000,2.881019469,97.91,94.46,48.95,0.127965,0.117576,4.00881,0.0175817,0.9824183,,
23N16718,32.61,-96.5,contact,TX,Combine,,,M,8,22,,AB,AeB,292173756,#5aae61,eastern,Y_23N16718,7447110000,6.590362832,98.32,95.14,42.61,1.793135,0.00778205,8.90962,0.0332873,0.9667127,,
23N16719,32.61,-96.5,contact,TX,Combine,,,M,8,22,,BB,BB,292173757,#5aae61,eastern,Y_23N16719,8421469500,7.452627876,98.36,95.2,42.4,1.455485,0.00533076,9.96343,0.0044176,0.9955824,,
24N03582,40.57851,-105.1793,western,CO,Lory SP,,,M,5,15,,AA,AwAw,808161480,#004488,western,Y_24N03582,6855211800,6.066559115,98.39,95.39,42.68,0.51233,0.0109624,8.81864,0.9801716,0.0198284,,
24N06732,31.509643,-92.468988,east,LA,Bentley/Catahoula,,,M,5,23,,BB,BB,294166103,#5aae61,eastern,Y_24N06732,4559266800,4.034749381,98.05,94.66,44.3,0.454505,0.0458345,5.69623,0.0001014,0.9998986,,
24N06733,31.523394,-92.468866,east,LA,Bentley/Catahoula,,,M,5,24,,AB,AeB,294166104,#5aae61,eastern,Y_24N06733,3980543100,3.522604513,98.04,94.74,44.55,0.380545,0.0701775,4.78989,0.0286982,0.9713019,,
24N06734,31.893707,-92.803196,east,LA,Calvin/Winn,,,M,5,30,,AA,AeAe,294166105,#5aae61,eastern,Y_24N06734,4727672400,4.183780885,98.01,94.65,46.3,0.220125,0.0406251,5.93044,0.0253137,0.9746863,,
24N06735,31.898423,-92.782798,east,LA,Calvin/Winn,,,M,5,30,,AB,AeB,294166107,#5aae61,eastern,Y_24N06735,3991533900,3.532330885,98.01,94.66,48.61,0.265715,0.0742326,4.81291,0.0338694,0.9661306,,
24N06736,31.489485,-93.03553,east,LA,Derry/Kisatchie,,,M,6,7,,AA,AeAe,294166109,#5aae61,eastern,Y_24N06736,3863297100,3.418846991,97.82,94.35,49.3,0.77507,0.0686149,5.07046,0.0369788,0.9630212,,
24N06737,45.52802,-103.1781,western,SD,Reva Gap,,,F,6,11,,AA,AwAw,289191762,#004488,western,Y_24N06737,5150844900,4.558269823,98.2,94.99,43.64,3.763655,0.0279758,7.15313,0.9753144,0.0246856,,
24N06738,40.23148,-105.21459,western,CO,Lyons,,,U,5,20,,AB,AwB,289191730,#004488,western,Y_24N06738,6997623300,6.192586991,98.25,94.88,42.13,3.42225,0.00677564,8.98942,0.966266,0.033734,,
24N06739,40.23148,-105.21459,western,CO,Lyons,,,M,5,20,,AA,AwAw,289191731,#004488,western,Y_24N06739,7531174200,6.664755929,98.28,95,42.18,4.00019,0.0050718,9.54658,0.9973413,0.0026587,,
24N06740,40.23215,-105.21413,western,CO,Lyons,,,M,5,20,,AA,AwAw,289191732,#004488,western,Y_24N06740,7605234300,6.730295841,98.32,95.07,42.32,3.10391,0.00398151,9.59335,0.9938156,0.0061844,,
24N06741,40.23159,-105.21248,western,CO,Lyons,,,M,5,20,,AA,AwAw,289191733,#004488,western,Y_24N06741,6458680200,5.715646195,98.27,94.98,42.22,3.28002,0.01078,8.02365,0.9826364,0.0173636,,
24N06742,40.1973,-105.29255,western,CO,Lyons,,,M,5,20,,AA,AwAw,289191734,#004488,western,Y_24N06742,7421252400,6.56748,98.12,94.64,42.44,3.759295,0.00730091,8.80455,0.9715282,0.0284718,,
24N06743,40.07616,-105.05849,western,CO,Erie,,,M,5,21,,AA,AwAw,289191735,#004488,western,Y_24N06743,7353455400,6.507482655,98.19,94.81,42.15,3.673515,0.00654022,8.85157,0.9909177,0.0090822,,
24N06744,40.23084,-105.21205,western,CO,Lyons,,,M,5,21,,AA,AwAw,289191736,#004488,western,Y_24N06744,6356383200,5.625117876,98.23,94.86,42.39,4.03897,0.00790123,8.09502,0.9998985,0.0001015,,
24N06745,40.19903,-105.3044,western,CO,Lyons,,,M,5,22,,AA,AwAw,289191737,#004488,western,Y_24N06745,7130829300,6.310468407,98.27,94.95,41.9,4.02674,0.00696986,8.58633,0.9953912,0.0046088,,
24N06746,40.19585,-105.30576,western,CO,Lyons,,,M,5,22,,AA,AwAw,289191738,#004488,western,Y_24N06746,6427229400,5.687813628,98.12,94.5,41.77,2.97633,0.0122035,7.4998,0.9998984,0.0001016,,
24N06747,40.19454,-105.30594,western,CO,Lyons,,,M,5,22,,AA,AwAw,289191739,#004488,western,Y_24N06747,8074737600,7.145785487,98.13,94.66,44,1.93271,0.00435892,11.9635,0.9890722,0.0109278,,
24N06748,40.16249,-105.25769,western,CO,Altona,,,M,5,23,,AA,AwAw,289191740,#004488,western,Y_24N06748,5744394900,5.08353531,98.05,94.51,43.32,2.875905,0.0254451,9.45079,0.9781422,0.0218578,,
24N06749,38.66908,-100.91959,Contact,KS,Scott City,,,M,5,29,,AA,AwAw,289191741,#004488,western,Y_24N06749,7860083100,6.955825752,98.15,94.75,44.4,2.48139,0.00661305,11.9407,0.945326,0.054674,,
24N06750,38.67049,-100.91866,Contact,KS,Scott City,,,M,5,29,,AA,AwAw,289191742,#004488,western,Y_24N06750,7618674600,6.742189912,98.01,94.38,44.55,2.535495,0.0158451,10.0841,0.9312699,0.06873,,
